,Week,Color,Avg_Return,Volatility,Week_of_Month,Close
205,206,Green,-4.53E-05,0.01331144,2,1506.88
206,207,Green,0.00854158,0.013789097785838396,3,1527.7
207,208,Red,-0.014321621,0.009680907,4,1473.09
208,209,Red,-0.00612591,0.020570607333257294,1,1442
209,210,Red,-0.008112825,0.031036709,2,1332.28
210,211,Green,0.016369045,0.030843019777190325,3,1453.24
211,212,Red,-0.004356813,0.017652824,4,1421.2
212,213,Green,0.000419575,0.012163212720916642,1,1445.48
213,214,Green,0.007031082,0.011976095446435865,2,1531.42
214,215,Green,0.002445035,0.00998365,3,1535.04
215,216,Red,-0.008173256,0.010081565076134287,4,1468.53
216,217,Green,0.000566423,0.004820094,1,1492.03
217,218,Red,-0.009963912,0.007862916,2,1426.05
218,219,Red,-0.01275402,0.016911997,3,1356.21
219,220,Red,0.003049805,0.019102591012450692,4,1330
220,221,Green,0.003557895,0.008053884,1,1371.98
221,222,Red,-0.005963404,0.010088074035290764,2,1326.34
222,223,Green,0.00177177,0.007757183,3,1366.8
223,224,Green,0.007331377,0.011770725423259293,4,1399.63
224,225,Green,0.013297849,0.007604451,1,1518.75
225,226,Green,0.006567482,0.011901196344874687,2,1566.37
226,227,Green,0.006132457,0.00915585,3,1592.25
227,228,Red,0.000832727,0.013847468,4,1560.49
228,229,Green,0.026997608,0.046242845,1,1830.92
229,230,Green,0.005352336,0.013979895,2,1863.44
230,231,Green,0.005774237,0.004368706,3,1887.15
231,232,Green,-0.002370138,0.006858976,4,1887.81
232,233,Green,-0.000677338,0.007465482,1,1891.54
233,234,Green,0.003825226,0.007467257,2,1918.95
234,235,Green,-0.000381537,0.004484753,3,1920.01
235,236,Red,0.000941432,0.008481782,4,1901.03
236,237,Green,0.000942272,0.013206116925290386,1,1909.02
237,238,Green,0.002775385,0.011073799946144098,2,1937.22
238,239,Red,-0.013291717,0.012419834729814958,3,1828.6
239,240,Red,0.003227856,0.008999966,4,1817.61
240,241,Green,-0.000547756,0.014178120675166132,1,1830.93
241,242,Red,0.000384105,0.009301904,2,1792.21
242,243,Red,-0.007186773,0.014034716,3,1779.03
243,244,Green,0.003467257,0.010568028,4,1794.35
244,245,Green,0.000879759,0.005306755,1,1863
245,246,Red,-0.003975343,0.015182946972965555,2,1754.9
246,247,Red,-0.010139532,0.006991172,3,1686.88
247,248,Red,-0.011501703,0.011058846468541663,4,1592.1
248,249,Green,0.013714192,0.024072005247546584,1,1721.4
249,250,Red,-0.005055058,0.011193897939979432,2,1683.84
250,251,Green,0.004483015,0.009636965,3,1748.25
